user:  | ip: ::1 | time: 09:18:30 24.1.2020
user:  | ip: ::1 | time: 09:19:28 24.1.2020
user:  | ip: ::1 | time: 09:30:18 24.1.2020
user:  | ip: ::1 | time: 09:30:56 24.1.2020
user:  | ip: ::1 | time: 09:30:59 24.1.2020
user:  | ip: ::1 | time: 09:31:09 24.1.2020
user: LAPTOP-H9IQVDL0 | ip: ::1 | time: 09:49:15 24.1.2020
user: LAPTOP-H9IQVDL0 | ip: ::1 | time: 10:06:13 24.1.2020
user: JoakimMutkaPC | ip: ::1 | time: 10:43:57 24.1.2020
user: JoakimMutkaPC | ip: ::1 | time: 10:45:48 24.1.2020
user: JoakimMutkaPC | ip: ::1 | time: 10:45:56 24.1.2020
user: JoakimMutkaPC | ip: ::1 | time: 10:46:12 24.1.2020
user: JoakimMutkaPC | ip: ::1 | time: 10:47:38 24.1.2020
user: JoakimMutkaPC | ip: ::1 | time: 10:47:51 24.1.2020
user: JoakimMutkaPC | ip: ::1 | time: 10:49:35 24.1.2020
user: JoakimMutkaPC | ip: ::1 | time: 10:50:28 24.1.2020
